Taille_mat;Taille_blocs;Run_ID;Time
5000;160;8;22.1493
5000;160;9;22.1639
5000;160;10;22.0912
5000;176;1;24.2298
5000;176;2;23.9305
5000;176;3;23.9978
5000;176;4;23.9221
5000;176;5;24.021
5000;176;6;23.8719
5000;176;7;23.9607
5000;176;8;23.8461
5000;176;9;23.9378
5000;176;10;23.9116
5000;192;1;26.2479
5000;192;2;26.3205
5000;192;3;26.2734
5000;192;4;26.2984
5000;192;5;26.5219
5000;192;6;26.2233
5000;192;7;26.3558
5000;192;8;26.3772
5000;192;9;26.2597
5000;192;10;26.2728
5000;208;1;28.4798
5000;208;2;28.2425
5000;208;3;28.4411
5000;208;4;28.2139
5000;208;5;28.2483
5000;208;6;28.5514
5000;208;7;28.416
5000;208;8;28.2221
5000;208;9;28.6096
5000;208;10;28.3201
5000;224;1;22.696
5000;224;2;22.6319
5000;224;3;22.6709
5000;224;4;22.8442
5000;224;5;22.7814
5000;224;6;22.7796
5000;224;7;22.6301
5000;224;8;22.7052
5000;224;9;22.709
5000;224;10;22.6259
5000;240;1;23.531
5000;240;2;23.6213
5000;240;3;23.6446
5000;240;4;23.828
5000;240;5;23.6817
5000;240;6;23.6796
5000;240;7;23.5831
5000;240;8;23.6982
5000;240;9;23.6034
5000;240;10;23.7147
5000;256;1;24.9309
5000;256;2;25.2753
5000;256;3;25.0926
5000;256;4;25.0627
5000;256;5;24.9359
5000;256;6;25.1224
5000;256;7;25.2518
5000;256;8;25.0438
5000;256;9;25.1455
5000;256;10;24.9564
5000;272;1;27.0017
5000;272;2;26.7912
5000;272;3;26.7468
5000;272;4;26.7548
5000;272;5;26.8187
5000;272;6;26.8736
5000;272;7;26.7954
5000;272;8;26.7807
5000;272;9;26.7224
5000;272;10;26.6565
5000;288;1;28.1354
5000;288;2;28.3321
5000;288;3;28.6735
5000;288;4;28.3866
5000;288;5;28.5659
5000;288;6;28.5622
5000;288;7;28.4239
5000;288;8;28.2913
5000;288;9;28.3723
5000;288;10;28.5996
5000;304;1;29.7086
5000;304;2;29.4539
5000;304;3;29.515
5000;304;4;29.6802
5000;304;5;29.7862
5000;304;6;29.6894
5000;304;7;29.7946
5000;304;8;29.4529
5000;304;9;29.1574
5000;304;10;29.5135
5000;304;11;29.5687
5000;304;12;29.3598
5000;320;1;21.0898
5000;320;2;20.9683
5000;320;3;20.8968
5000;320;4;20.886
5000;320;5;21.0075
5000;320;6;20.9113
5000;320;7;21.0078
5000;320;8;20.8955
5000;320;9;20.987
5000;320;10;21.0405
5000;336;1;21.6737
5000;336;2;21.6834
5000;336;3;21.7054
5000;336;4;21.7866
5000;336;5;21.6844
5000;336;6;21.924
5000;336;7;21.7154
5000;336;8;21.7729
5000;336;9;21.8413
5000;336;10;21.7401
5000;352;1;23.7864
5000;352;2;23.6869
5000;352;3;23.7114
5000;352;4;23.6909
5000;352;5;23.8198
5000;352;6;23.7413
5000;352;7;23.8884
5000;352;8;23.8366
5000;352;9;23.6217
5000;352;10;23.7773
5000;368;1;23.877
5000;368;2;24.1265
5000;368;3;24.028
5000;368;4;23.9398
5000;368;5;23.9067
5000;368;6;23.9733
5000;368;7;23.839
5000;368;8;23.8671
5000;368;9;23.8923
5000;368;10;24.0041
5000;384;1;26.3963
5000;384;2;26.388
5000;384;3;26.3921
5000;384;4;26.3547
5000;384;5;26.3214
5000;384;6;26.5015
5000;384;7;26.5994
5000;384;8;26.7218
5000;384;9;26.2961
5000;384;10;26.502
5000;400;1;26.4799
5000;400;2;25.9752
5000;400;3;26.0917
5000;400;4;25.9995
5000;400;5;25.8148
5000;400;6;25.8857
5000;400;7;25.9823
5000;400;8;26.0475
5000;400;9;26.0372
5000;400;10;26.0006
5000;416;1;28.5725
5000;416;2;28.5748
5000;416;3;28.7546
5000;416;4;28.4069
5000;416;5;28.411
5000;416;6;28.5308
5000;416;7;28.5011
5000;416;8;28.6401
5000;416;9;28.5983
5000;416;10;28.5101
5000;432;1;27.6312
5000;432;2;27.5672
5000;432;3;27.7536
5000;432;4;27.6972
5000;432;5;27.742
5000;432;6;27.7729
5000;432;7;27.4792
5000;432;8;27.605
5000;432;9;27.6236
5000;432;10;27.6736
5000;448;1;30.1128
5000;448;2;30.101
5000;448;3;30.4853
5000;448;4;30.0648
5000;448;5;29.5959
5000;448;6;30.2295
5000;448;7;30.0474
5000;448;8;30.1054
5000;448;9;30.0814
5000;448;10;30.155
5000;464;1;29.1456
5000;464;2;29.2123
5000;464;3;29.0819
5000;464;4;29.441
5000;464;5;29.0294
5000;464;6;29.1739
5000;464;7;29.4529
5000;464;8;29.0834
5000;464;9;29.2276
5000;464;10;29.1003
5000;480;1;30.9588
5000;480;2;30.9774
5000;480;3;30.7598
5000;480;4;30.9593
5000;480;5;30.9182
5000;480;6;30.925
5000;480;7;31.0164
5000;480;8;30.8753
5000;480;9;30.6695
5000;480;10;30.6349
5000;512;1;31.8601
5000;512;2;32.5736
5000;512;3;31.9044
5000;512;4;32.1784
5000;512;5;31.8816
5000;512;6;31.8036
5000;512;7;31.6731
5000;512;8;31.993
5000;512;9;31.9118
5000;512;10;31.8719

