Taille_mat;Run_ID;Time
74;3;0.014501
74;4;0.011603
74;5;0.014162
74;6;0.012908
74;7;0.016091
74;8;0.011589
74;9;0.011599
74;10;0.011602
74;11;0.016021
74;12;0.015451
74;13;0.015221
74;14;0.016173
74;15;0.015471
74;16;0.015884
74;17;0.014731
74;18;0.013331
74;19;0.016324
74;20;0.014382
74;21;0.015069
74;22;0.015724
74;23;0.011972
74;24;0.015743
74;25;0.013755
74;26;0.015234
74;27;0.012058
74;28;0.015019
74;29;0.014383
74;30;0.013511
76;1;0.015686
76;2;0.016679
76;3;0.012879
76;4;0.016004
76;5;0.014529
76;6;0.017152
76;7;0.016241
76;8;0.017186
76;9;0.012925
76;10;0.013925
76;11;0.016084
76;12;0.015839
76;13;0.01724
76;14;0.018747
76;15;0.016672
76;16;0.016516
76;17;0.012556
76;18;0.016639
76;19;0.016135
76;20;0.015187
76;21;0.012548
76;22;0.015227
76;23;0.016753
76;24;0.017227
76;25;0.012551
76;26;0.01256
76;27;0.01637
76;28;0.015711
76;29;0.01521
76;30;0.016298
78;1;0.014907
78;2;0.017738
78;3;0.013819
78;4;0.017915
78;5;0.018033
78;6;0.016811
78;7;0.017317
78;8;0.016342
78;9;0.017009
78;10;0.017801
78;11;0.017647
78;12;0.013574
78;13;0.018246
78;14;0.017507
78;15;0.01678
78;16;0.017793
78;17;0.016697
78;18;0.017847
78;19;0.017344
78;20;0.018005
78;21;0.013846
78;22;0.01683
78;23;0.013591
78;24;0.013619
78;25;0.017314
78;26;0.015662
78;27;0.01657
78;28;0.015689
78;29;0.018047
78;30;0.017504
80;1;0.018811
80;2;0.018949
80;3;0.017887
80;4;0.018739
80;5;0.014748
80;6;0.014643
80;7;0.018177
80;8;0.018644
80;9;0.017992
80;10;0.0189
80;11;0.017379
80;12;0.019047
80;13;0.014637
80;14;0.014644
80;15;0.018426
80;16;0.019186
80;17;0.018586
80;18;0.015769
80;19;0.014645
80;20;0.014647
80;21;0.014654
80;22;0.018718
80;23;0.016541
80;24;0.014627
80;25;0.019069
80;26;0.017805
80;27;0.015712
80;28;0.017936
80;29;0.019402
80;30;0.018391
82;1;0.019704
82;2;0.020167
82;3;0.015759
82;4;0.020261
82;5;0.018964
82;6;0.020063
82;7;0.019476
82;8;0.019759
82;9;0.019855
82;10;0.01941
82;11;0.020388
82;12;0.017
82;13;0.015761
82;14;0.019734
82;15;0.015764
82;16;0.020646
82;17;0.019469
82;18;0.015754
82;19;0.019378
82;20;0.015739
82;21;0.020382
82;22;0.015846
82;23;0.020179
82;24;0.018446
82;25;0.019515
82;26;0.018903
82;27;0.018232
82;28;0.019595
82;29;0.02049
82;30;0.019073
84;1;0.017618
84;2;0.020617
84;3;0.020502
84;4;0.021098
84;5;0.018141
84;6;0.021525
84;7;0.020448
84;8;0.019936
84;9;0.016931
84;10;0.020398
84;11;0.021695
84;12;0.020547
84;13;0.020039
84;14;0.021647
84;15;0.016926
84;16;0.021373
84;17;0.020267
84;18;0.021662
84;19;0.020037
84;20;0.020545
84;21;0.02123
84;22;0.020819
84;23;0.020645
84;24;0.021183
84;25;0.020921
84;26;0.019567
84;27;0.020283
84;28;0.016958
84;29;0.021459
84;30;0.019743
86;1;0.021415
86;2;0.022589
86;3;0.022924
86;4;0.020043
86;5;0.022692
86;6;0.018147
86;7;0.018171
86;8;0.018167
86;9;0.018162
86;10;0.022546
86;11;0.021783
86;12;0.019949
86;13;0.022063
86;14;0.020747
86;15;0.022653
86;16;0.022447
86;17;0.021831
86;18;0.022527
86;19;0.02192
86;20;0.018245
86;21;0.022015
86;22;0.022223
86;23;0.022764
86;24;0.022059
86;25;0.023199
86;26;0.021828
86;27;0.023042
86;28;0.018195
86;29;0.018172
86;30;0.02071
88;1;0.022671
88;2;0.023761
88;3;0.023898
88;4;0.021345
88;5;0.021423
88;6;0.023903
88;7;0.02134
88;8;0.02252
88;9;0.021566
88;10;0.019481
88;11;0.019492
88;12;0.019485
88;13;0.019548
88;14;0.019539
88;15;0.01948
88;16;0.019545
88;17;0.020926
88;18;0.023456
88;19;0.01955
88;20;0.019491
88;21;0.019548
88;22;0.019535
88;23;0.019495
88;24;0.022027
88;25;0.023432
88;26;0.023708
88;27;0.023243
88;28;0.019461
88;29;0.021935
88;30;0.023354
90;1;0.024586
90;2;0.023441
90;3;0.024694
90;4;0.020797
90;5;0.020802
90;6;0.024452
90;7;0.024278
90;8;0.020796
90;9;0.020827
90;10;0.025449
90;11;0.024354
90;12;0.022335
90;13;0.023604
90;14;0.020802
90;15;0.020862
90;16;0.020816
90;17;0.020813
90;18;0.020801
90;19;0.024693
90;20;0.024546
90;21;0.020798
90;22;0.020811
90;23;0.020799
90;24;0.020812
90;25;0.020807
90;26;0.025341
90;27;0.024308
90;28;0.020799
90;29;0.024192
90;30;0.024878
92;1;0.027048
92;2;0.023775
92;3;0.023444
92;4;0.025702
92;5;0.02221
92;6;0.025903
92;7;0.02224
92;8;0.022207
92;9;0.026843
92;10;0.023299
92;11;0.026933
92;12;0.025338
92;13;0.024309
92;14;0.022393
92;15;0.025574
92;16;0.022248
92;17;0.027181
92;18;0.024822
92;19;0.023945
92;20;0.022206
92;21;0.022202
92;22;0.022223
92;23;0.02222
92;24;0.022242
92;25;0.022233
92;26;0.023771
92;27;0.026089
92;28;0.022207
92;29;0.022229
92;30;0.022222
94;1;0.027517
94;2;0.028412
94;3;0.027668
94;4;0.027068
94;5;0.028761
94;6;0.02368
94;7;0.023684
94;8;0.02368
94;9;0.023673
94;10;0.023684
94;11;0.023682
94;12;0.026895
94;13;0.027937
94;14;0.023681
94;15;0.023696
94;16;0.026783
94;17;0.02702
94;18;0.023688
94;19;0.023687
94;20;0.023688
94;21;0.023685
94;22;0.023691
94;23;0.023684
94;24;0.02369
94;25;0.023686
94;26;0.027564
94;27;0.027093
94;28;0.023689
94;29;0.025023
94;30;0.028089
96;1;0.027335
96;2;0.025276
96;3;0.029924
96;4;0.025268
96;5;0.029047
96;6;0.025261
96;7;0.025374
96;8;0.025326
96;9;0.025384
96;10;0.026925
96;11;0.02526
96;12;0.028379
96;13;0.026259
96;14;0.025365
96;15;0.02989
96;16;0.025253
96;17;0.028411
96;18;0.026305
96;19;0.028904
96;20;0.029287
96;21;0.029247
96;22;0.02986
96;23;0.027047
96;24;0.030323
96;25;0.026864
96;26;0.029947
96;27;0.028607
96;28;0.027977
96;29;0.026444
96;30;0.025232
98;1;0.027528
98;2;0.026829
98;3;0.02683
98;4;0.026833
98;5;0.026834
98;6;0.026843
98;7;0.026836
98;8;0.030839
98;9;0.030579
98;10;0.029044
98;11;0.030718
98;12;0.027946
98;13;0.029883
98;14;0.031277
98;15;0.028196
98;16;0.030137
98;17;0.031451
98;18;0.028323
98;19;0.030251
98;20;0.026833
98;21;0.026835
98;22;0.026837
98;23;0.026832
98;24;0.026844
98;25;0.026839
98;26;0.030762
98;27;0.030526
98;28;0.029018
98;29;0.026823
98;30;0.02924
100;1;0.032144
100;2;0.032161
100;3;0.032053
100;4;0.030035
100;5;0.028505
100;6;0.033313
100;7;0.032205
100;8;0.028503
100;9;0.028555
100;10;0.030105
100;11;0.030087
100;12;0.028552
100;13;0.032713
100;14;0.031795
100;15;0.028497
100;16;0.029858
100;17;0.031903
100;18;0.028497
100;19;0.032601
100;20;0.031743
100;21;0.028505
100;22;0.032501
100;23;0.028487
100;24;0.032319
100;25;0.028497
100;26;0.030216
100;27;0.032164
100;28;0.028493
100;29;0.030107
100;30;0.032062
102;1;0.030945
102;2;0.034615
102;3;0.030265
102;4;0.031755
102;5;0.030235
102;6;0.03389
102;7;0.030229
102;8;0.033981
102;9;0.034015
102;10;0.030227
102;11;0.032678
102;12;0.034452
102;13;0.033656
102;14;0.033065
102;15;0.034144
102;16;0.034007
102;17;0.033305
102;18;0.033553
102;19;0.033694
102;20;0.033877
102;21;0.030424
102;22;0.035134
102;23;0.034738
102;24;0.030262
102;25;0.030261
102;26;0.033367
102;27;0.034129
102;28;0.030272
102;29;0.030248
102;30;0.030257
104;1;0.032083
104;2;0.032059
104;3;0.032063
104;4;0.03472
104;5;0.035777
104;6;0.032062
104;7;0.032078
104;8;0.032114
104;9;0.034843
104;10;0.035878
104;11;0.035922
104;12;0.036022
104;13;0.036551
104;14;0.032057
104;15;0.032067
104;16;0.032057
104;17;0.032066
104;18;0.034802
104;19;0.034514
104;20;0.032059
104;21;0.035142
104;22;0.035388
104;23;0.036237
104;24;0.0355
104;25;0.03295
104;26;0.033249
104;27;0.032071
104;28;0.032062
104;29;0.032092
104;30;0.032044
106;1;0.034614
106;2;0.038011
106;3;0.037982
106;4;0.033955
106;5;0.034891
106;6;0.036748
106;7;0.033942
106;8;0.038278
106;9;0.035385
106;10;0.036193
106;11;0.034618
106;12;0.037942
106;13;0.037871
106;14;0.036533
106;15;0.035822
106;16;0.034066
106;17;0.034042
106;18;0.034073
106;19;0.034113
106;20;0.034107
106;21;0.035497
106;22;0.037609
106;23;0.037667
106;24;0.033939
106;25;0.038685
106;26;0.03697
106;27;0.037903
106;28;0.036551
106;29;0.033939
106;30;0.03393
108;1;0.03655
108;2;0.036738
108;3;0.039189
108;4;0.035946
108;5;0.035884
108;6;0.036937
108;7;0.038597
108;8;0.038335
108;9;0.03683
108;10;0.039814
108;11;0.037834
108;12;0.040524
108;13;0.03587
108;14;0.035875
108;15;0.037409
108;16;0.038303
108;17;0.038607
108;18;0.035869
108;19;0.03589
108;20;0.039996
108;21;0.037965
108;22;0.040607
108;23;0.038484
108;24;0.036763
108;25;0.03588
108;26;0.03588
108;27;0.03588
108;28;0.038269
108;29;0.03681
108;30;0.038476
110;1;0.0413
110;2;0.041462
110;3;0.041607
110;4;0.037908
110;5;0.03791
110;6;0.041908
110;7;0.039212
110;8;0.041432
110;9;0.038863
110;10;0.041201
110;11;0.037897
110;12;0.037906
110;13;0.037889
110;14;0.039153
110;15;0.041421
110;16;0.038881
110;17;0.041196
110;18;0.038942
110;19;0.039696
110;20;0.041732
110;21;0.041079
110;22;0.037911
110;23;0.037908
110;24;0.039607
110;25;0.041649
110;26;0.039037
110;27;0.041339
110;28;0.040799
110;29;0.037916
110;30;0.039285
112;1;0.043199
112;2;0.044263
112;3;0.043906
112;4;0.040036
112;5;0.043466
112;6;0.040097
112;7;0.040247
112;8;0.040156
112;9;0.042168
112;10;0.041834
112;11;0.044756
112;12;0.041068
112;13;0.04273
112;14;0.043618
112;15;0.040037
112;16;0.044402
112;17;0.042861
112;18;0.042486
112;19;0.040032
112;20;0.04003
112;21;0.041111
112;22;0.042627
112;23;0.043747
112;24;0.043723
112;25;0.041014
112;26;0.042626
112;27;0.040027
112;28;0.043816
112;29;0.041107
112;30;0.043995
114;1;0.046382
114;2;0.045518
114;3;0.046212
114;4;0.046041
114;5;0.042185
114;6;0.042286
114;7;0.042264
114;8;0.042218
114;9;0.042207
114;10;0.044672
114;11;0.044594
114;12;0.042226
114;13;0.046779
114;14;0.046696
114;15;0.04485
114;16;0.04647
114;17;0.045559
114;18;0.046274
114;19;0.04475
114;20;0.045777
114;21;0.047112
114;22;0.045916
114;23;0.045978
114;24;0.045786
114;25;0.045781
114;26;0.045823
114;27;0.0422
114;28;0.043069
114;29;0.04375
114;30;0.046017
116;1;0.045109
116;2;0.046693
116;3;0.046377
116;4;0.044452
116;5;0.044437
116;6;0.044445
116;7;0.044466
116;8;0.048522
116;9;0.047128
116;10;0.048422
116;11;0.046178
